Designator,Mid X,Mid Y,Rotation,Layer
R82,102.029882,-33.923232,180.0,top
R83,101.959882,-30.513232,0.0,top
R84,186.695,-35.385,0.0,top
R9,146.544707,-33.32823,90.0,top
S1,94.490057,-25.568234,270.0,top
S2,99.640057,-25.568234,270.0,top
SCLK1,211.289882,-83.293232,270.0,top
STATUS1,120.989882,-55.593232,270.0,top
TP1,103.289882,-91.418234,90.0,top
TP2,109.295057,-91.418234,90.0,top
TP3,115.289882,-91.398234,90.0,top
TP4,188.489882,-56.153232,90.0,top
TP5,104.429882,-42.383232,0.0,top
TP6,104.419882,-38.193232,0.0,top
TP7,191.089882,-59.653232,0.0,top
U1,137.542307,-29.493233,0.0,top
U2,137.245057,-51.968234,0.0,top
U3,169.470057,-67.706034,90.0,top
U4,156.245057,-29.468234,0.0,top
U5,155.995057,-51.968234,0.0,top
U6,175.495057,-29.468234,0.0,top
U7,175.245057,-51.968234,0.0,top
